exercise_id,exercise_name,muscle_group,source_packages,risk_regions,movement_patterns,max_priority,suggested_contraindications,suggested_pain_limitation_tags,suggested_regressions,suggested_equivalent_substitutes,suggested_progressions,suggested_equipment,conflict_notes,reviewer_status,reviewer_notes
"606fe07b-7696-428d-91b3-012863ca5554","Desenvolvimento Arnold em Pé","ombro","high_risk; risk_regions","shoulder","empurrar_vertical","P1","acute_shoulder_pain; painful_overhead_press; shoulder_impingement; overhead_limitation","shoulder_pain; shoulder_impingement; overhead_limitation; painful_pressing_rom","Elevação Lateral Halteres; Face Pull Corda; Manguito Externo","Desenvolvimento Máquina; Desenvolvimento Neutro Máquina; Desenvolvimento Unilateral Landmine","Progredir reps antes de carga; carga só sem dor e técnica limpa; ROM indolor; controle escapular","dumbbells","","needs_review","Consolidado de: high_risk, risk_regions"
"4834bdde-5c05-47d1-94b3-9cdecd81fd62","Desenvolvimento Arnold Sentado","ombro","high_risk; risk_regions","shoulder","empurrar_vertical","P1","acute_shoulder_pain; painful_overhead_press; shoulder_impingement; overhead_limitation","shoulder_pain; shoulder_impingement; overhead_limitation; painful_pressing_rom","Elevação Lateral Halteres; Face Pull Corda; Manguito Externo","Desenvolvimento Máquina; Desenvolvimento Neutro Máquina; Desenvolvimento Unilateral Landmine","Progredir reps antes de carga; carga só sem dor e técnica limpa; ROM indolor; controle escapular","dumbbells","","needs_review","Consolidado de: high_risk, risk_regions"
"7c4dd9a3-c6c2-4e9a-a896-42b7c9911ade","Desenvolvimento Barra Sentado","ombro","high_risk; risk_regions","cervical; shoulder","empurrar_vertical","P1","acute_shoulder_pain; painful_overhead_press; shoulder_impingement; overhead_limitation","shoulder_pain; shoulder_impingement; overhead_limitation; cervical_pain; painful_pressing_rom","Elevação Lateral Halteres; Face Pull Corda; Manguito Externo","Desenvolvimento Máquina; Desenvolvimento Neutro Máquina; Desenvolvimento Unilateral Landmine","Progredir reps antes de carga; carga só sem dor e técnica limpa; ROM indolor; controle escapular","barbell","Multiplas regioes de risco: shoulder/cervical","needs_review","Consolidado de: high_risk, risk_regions"
"e9356e80-6f25-4ac7-bce7-afc652825220","Desenvolvimento Halteres em Pé","ombro","high_risk; risk_regions","shoulder","empurrar_vertical","P1","acute_shoulder_pain; painful_overhead_press; shoulder_impingement; overhead_limitation","shoulder_pain; shoulder_impingement; overhead_limitation; painful_pressing_rom","Elevação Lateral Halteres; Face Pull Corda; Manguito Externo","Desenvolvimento Máquina; Desenvolvimento Unilateral Landmine; Desenvolvimento Neutro Máquina","Progredir reps antes de carga; carga só sem dor e técnica limpa; ROM indolor; controle escapular","dumbbells","","needs_review","Consolidado de: high_risk, risk_regions"
"f65e178d-2fb9-467d-8ec7-153df01be7bb","Desenvolvimento Halteres Sentado","ombro","high_risk; risk_regions","shoulder","empurrar_vertical","P1","acute_shoulder_pain; painful_overhead_press; shoulder_impingement; overhead_limitation","shoulder_pain; shoulder_impingement; overhead_limitation; painful_pressing_rom","Elevação Lateral Halteres; Face Pull Corda; Manguito Externo","Desenvolvimento Máquina; Desenvolvimento Neutro Máquina; Desenvolvimento Unilateral Landmine","Progredir reps antes de carga; carga só sem dor e técnica limpa; ROM indolor; controle escapular","dumbbells","","needs_review","Consolidado de: high_risk, risk_regions"
"e1ff0905-955b-4bf7-95c6-1b72dbfa34ff","Desenvolvimento Máquina","ombro","high_risk; movement_pattern_minimum; risk_regions","shoulder","empurrar_vertical","P1","acute_shoulder_pain; painful_overhead_press; overhead_limitation; shoulder_impingement","shoulder_pain; overhead_limitation; shoulder_impingement; painful_pressing_rom","Elevação Lateral Máquina; Face Pull Corda; Manguito Externo; Elevação Lateral Halteres","Desenvolvimento Neutro Máquina; Desenvolvimento Unilateral Landmine; Desenvolvimento Máquina","Progredir reps antes de carga; carga só sem dor; ROM indolor; controle escapular","machine","Aparece como ALTO RISCO e tambem como candidato seguro - util, mas exige cautela/contraindication","needs_review","Consolidado de: high_risk, movement_pattern_minimum, risk_regions"
"bf14a53d-23ee-4db4-a46e-07e149e66454","Desenvolvimento Militar","ombro","high_risk; risk_regions","cervical; shoulder","empurrar_vertical","P1","acute_shoulder_pain; painful_overhead_press; shoulder_impingement; overhead_limitation","shoulder_pain; shoulder_impingement; overhead_limitation; cervical_pain; painful_pressing_rom","Elevação Lateral Halteres; Face Pull Corda; Manguito Externo","Desenvolvimento Máquina; Desenvolvimento Neutro Máquina; Desenvolvimento Unilateral Landmine","Progredir reps antes de carga; carga só sem dor e técnica limpa; ROM indolor; controle escapular","barbell","Multiplas regioes de risco: shoulder/cervical","needs_review","Consolidado de: high_risk, risk_regions"
"48ece7af-de72-45c1-bdf4-27a7ff2f3209","Desenvolvimento Neutro em Pé","ombro","high_risk; risk_regions","shoulder","empurrar_vertical","P1","acute_shoulder_pain; painful_overhead_press; shoulder_impingement; overhead_limitation","shoulder_pain; shoulder_impingement; overhead_limitation; painful_pressing_rom","Elevação Lateral Halteres; Face Pull Corda; Manguito Externo","Desenvolvimento Máquina; Desenvolvimento Neutro Máquina; Desenvolvimento Unilateral Landmine","Progredir reps antes de carga; carga só sem dor e técnica limpa; ROM indolor; controle escapular","dumbbells","","needs_review","Consolidado de: high_risk, risk_regions"
"77208e72-8b6f-4fdc-99ca-42a18e2889d6","Desenvolvimento Neutro Halteres Sentado","ombro","high_risk; risk_regions","shoulder","empurrar_vertical","P1","acute_shoulder_pain; painful_overhead_press; shoulder_impingement; overhead_limitation","shoulder_pain; shoulder_impingement; overhead_limitation; painful_pressing_rom","Elevação Lateral Halteres; Face Pull Corda; Manguito Externo","Desenvolvimento Neutro Máquina; Desenvolvimento Máquina; Desenvolvimento Unilateral Landmine","Progredir reps antes de carga; carga só sem dor e técnica limpa; ROM indolor; controle escapular","dumbbells","","needs_review","Consolidado de: high_risk, risk_regions"
"7f9fbd65-d234-4b84-b198-faca46343915","Desenvolvimento Neutro Máquina","ombro","high_risk; movement_pattern_minimum; risk_regions","shoulder","empurrar_vertical","P1","acute_shoulder_pain; painful_overhead_press; overhead_limitation; shoulder_impingement","shoulder_pain; overhead_limitation; shoulder_impingement; painful_pressing_rom","Elevação Lateral Máquina; Face Pull Corda; Manguito Externo; Elevação Lateral Halteres","Desenvolvimento Máquina; Desenvolvimento Unilateral Landmine; Desenvolvimento Neutro Máquina","Progredir reps antes de carga; carga só sem dor; ROM indolor; controle escapular","machine","Aparece como ALTO RISCO e tambem como candidato seguro - util, mas exige cautela/contraindication","needs_review","Consolidado de: high_risk, movement_pattern_minimum, risk_regions"
